Orbits integrated with JPL ephemerides, version jup365.bsp starting at 2.443e6 .
The synthetic times include Normally sampled noise with zero mean and 30 second standard deviation.
#body	ntrans	tt	sigtt
1.0	0.0	1.3750898079015315	0.00034722222222222224
1.0	1.0	3.143537862226367	0.00034722222222222224
1.0	2.0	4.911965426523238	0.00034722222222222224
1.0	3.0	6.681862296536565	0.00034722222222222224
1.0	4.0	8.450475805439055	0.00034722222222222224
1.0	5.0	10.220394356176257	0.00034722222222222224
1.0	6.0	11.989067184738815	0.00034722222222222224
1.0	7.0	13.758645030669868	0.00034722222222222224
1.0	8.0	15.527175444178283	0.00034722222222222224
1.0	9.0	17.29695330420509	0.00034722222222222224
1.0	10.0	19.06592335458845	0.00034722222222222224
1.0	11.0	20.83469106722623	0.00034722222222222224
1.0	12.0	22.60385885834694	0.00034722222222222224
1.0	13.0	24.372708154376596	0.00034722222222222224
1.0	14.0	26.141958651598543	0.00034722222222222224
1.0	15.0	27.9115162268281	0.00034722222222222224
1.0	16.0	29.680317303631455	0.00034722222222222224
1.0	17.0	31.449671912472695	0.00034722222222222224
1.0	18.0	33.21816155221313	0.00034722222222222224
1.0	19.0	34.98738331627101	0.00034722222222222224
1.0	20.0	36.75643328437582	0.00034722222222222224
1.0	21.0	38.52626101812348	0.00034722222222222224
1.0	22.0	40.29542173584923	0.00034722222222222224
1.0	23.0	42.06428689183667	0.00034722222222222224
1.0	24.0	43.832733450923115	0.00034722222222222224
1.0	25.0	45.602951041422784	0.00034722222222222224
1.0	26.0	47.372136207297444	0.00034722222222222224
1.0	27.0	49.140614406671375	0.00034722222222222224
1.0	28.0	50.90997518738732	0.00034722222222222224
1.0	29.0	52.67925108643249	0.00034722222222222224
1.0	30.0	54.44768518768251	0.00034722222222222224
1.0	31.0	56.21676646452397	0.00034722222222222224
1.0	32.0	57.986031994689256	0.00034722222222222224
1.0	33.0	59.75529354810715	0.00034722222222222224
1.0	34.0	61.524705881718546	0.00034722222222222224
