Orbits integrated with JPL ephemerides, version jup365.bsp starting at 2.451545e6 .
These true transit times include no white noise.
#body	ntrans	tt
1.0	264.0	468.70501994062215
1.0	265.0	470.4741199784912
1.0	266.0	472.24326073518023
1.0	267.0	474.0123579930514
1.0	268.0	475.7814751151018
1.0	269.0	477.55057050054893
1.0	270.0	479.3197039538063
1.0	271.0	481.08879877533764
1.0	272.0	482.8579098279588
1.0	273.0	484.6270018508658
1.0	274.0	486.39612993085757
1.0	275.0	488.16522410558537
1.0	276.0	489.9343310412951
1.0	277.0	491.70342075638473
1.0	278.0	493.4725429126993
1.0	279.0	495.2416345048696
1.0	280.0	497.01073529664427
1.0	281.0	498.7798216124065
1.0	282.0	500.5489385994151
1.0	283.0	502.318029422313
1.0	284.0	504.0871260697022
1.0	285.0	505.8562108925544
1.0	286.0	507.62532446021214
1.0	287.0	509.39441462559626
1.0	288.0	511.1635058191605
1.0	289.0	512.9325870387256
1.0	290.0	514.7016957025044
1.0	291.0	516.4707850692794
1.0	292.0	518.2398725496605
1.0	293.0	520.0089521654882
1.0	294.0	521.7780579151586
1.0	295.0	523.547148338519
1.0	296.0	525.3162332135253
1.0	297.0	527.085310483817
1.0	298.0	528.8544114935212
1.0	299.0	530.6235009385273
1.0	300.0	532.3925826144405
1.0	301.0	534.1616585729644
1.0	302.0	535.9307569419034
1.0	303.0	537.6998472637497
1.0	304.0	539.4689279226586
1.0	305.0	541.2380042141303
1.0	306.0	543.0071000368334
1.0	307.0	544.7761896075681
1.0	308.0	546.5452673416585
1.0	309.0	548.3143426659517
1.0	310.0	550.0834362688474
1.0	311.0	551.8525268044323
1.0	312.0	553.621603784617
1.0	313.0	555.3906801887788
1.0	314.0	557.1597736030817
1.0	315.0	558.9288658392616
1.0	316.0	560.6979412268847
1.0	317.0	562.4670168552548
1.0	318.0	564.2361082946882
1.0	319.0	566.0052017169073
1.0	320.0	567.7742768796161
1.0	321.0	569.5433538998477
1.0	322.0	571.3124452806078
1.0	323.0	573.0815419531427
1.0	324.0	574.8506184103899
1.0	325.0	576.6196967405267
