Orbits integrated with JPL ephemerides, version jup365.bsp starting at 2.443e6 .
These true transit times include no white noise.
#body	ntrans	tt
3.0	79.0	568.9630375877023
3.0	80.0	576.1173318400979
3.0	81.0	583.2717225514352
3.0	82.0	590.4266317863949
3.0	83.0	597.5812920830213
3.0	84.0	604.7363528413698
3.0	85.0	611.8908368684351
3.0	86.0	619.045224415604
3.0	87.0	626.1995906927623
3.0	88.0	633.3540510861203
3.0	89.0	640.5090270219371
3.0	90.0	647.6637537600473
3.0	91.0	654.8188787535764
3.0	92.0	661.9734242470004
3.0	93.0	669.1278718612157
3.0	94.0	676.2822872004472
3.0	95.0	683.436788040679
3.0	96.0	690.5917934202589
3.0	97.0	697.7465385678224
3.0	98.0	704.9016694980673
3.0	99.0	712.056208346039
3.0	100.0	719.2106390353292
3.0	101.0	726.3650223170407
4.0	0.0	9.79811864066869
4.0	1.0	26.487380060367286
4.0	2.0	43.17647435050458
4.0	3.0	59.86522603966296
4.0	4.0	76.55451702699065
4.0	5.0	93.24359576962888
4.0	6.0	109.93236806895584
4.0	7.0	126.62166386051103
4.0	8.0	143.31067283684388
4.0	9.0	159.99956570751965
4.0	10.0	176.68875359604135
4.0	11.0	193.37781492620707
4.0	12.0	210.066692489665
4.0	13.0	226.7558969776146
4.0	14.0	243.44494480313733
4.0	15.0	260.1337886932306
4.0	16.0	276.82309307157993
4.0	17.0	293.51201934274286
4.0	18.0	310.2009451678023
4.0	19.0	326.8902194323018
4.0	20.0	343.57915980461985
4.0	21.0	360.26806708145887
4.0	22.0	376.95733432099223
4.0	23.0	393.64634472085163
4.0	24.0	410.33513465337455
4.0	25.0	427.0245053959079
4.0	26.0	443.71346476720646
4.0	27.0	460.4022721853107
4.0	28.0	477.0916228876449
4.0	29.0	493.78059670655057
4.0	30.0	510.46943905344233
4.0	31.0	527.1586900972761
4.0	32.0	543.8477821135893
4.0	33.0	560.5365455779247
4.0	34.0	577.2258261721581
4.0	35.0	593.9148995713331
4.0	36.0	610.6036869222298
4.0	37.0	627.2929702126421
4.0	38.0	643.9819727702998
4.0	39.0	660.6708801360801
4.0	40.0	677.3600552910939
4.0	41.0	694.0491092917509
4.0	42.0	710.7379981493577
4.0	43.0	727.4271914330311
